,Dis No,Year,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,River Basin,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Reconstruction Costs, Adjusted ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages, Adjusted ('000 US$)",Geo Locations,Start Date,End Date,Location List,mentions_1,mentions_2,mentions_3
34,2016-0014-AUS,2016.0,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Yarloop busfires,Australia,AUS,Australia and New Zealand,Oceania,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",Lighthning,,,,Yes,,,Km2,,,,2.0,,,540.0,540.0,,60968.0,134129.0,"Harvey (S), Waroona (S) (Adm2). ",2016-01-05,2016-01-10,"['Yarloop', 'Cookernup areas', 'Harvey', 'S district', 'Western Australia province', 'Hamel', 'Waroona areas', 'Waroona', 'S district', 'Western Australia province']",0.0,0.0,5.0
35,2016-0179-AUT,2016.0,,Natural,Hydrological,Flood,,,,Austria,AUT,Western Europe,Europe,"Salzburg province, Braunau am Inn district (Oberosterreich province)",Heavy rains,,,,,,,Km2,,,,,,,,,,,,Salzburg (Adm1). Braunau am Inn (Adm2). ,2016-06-01,2016-06-01,"['Salzburg province', 'Braunau am Inn district', 'Oberosterreich province']",0.0,0.0,5.0
36,2016-0179-BEL,2016.0,,Natural,Hydrological,Flood,,,,Belgium,BEL,Western Europe,Europe,"Harsin area (Nassogne commune, Luxembourg district, Region wallonne province)",Thunderstorms,,,,,,,Km2,,,,1.0,,,,,,,,Luxembourg (Adm2). ,2016-06-02,2016-06-08,"['Harsin area', 'Nassogne commune', 'Luxembourg district', 'Region wallonne province']",0.0,663.0,0.0
37,2016-0287-BFA,2016.0,,Natural,Hydrological,Flood,Riverine flood,,,Burkina Faso,BFA,Western Africa,Africa,"Arr.3 (Zogo, Watinoma, sector 12 and 13), Arr. 4, Arr. 7 (Sondogo), Arr.8 (Bissighin), Arr. 10, Tanghlin Dassouri Arr. (Ouagadougou city, Kadiogo district, Centre province), Boucle du Mouhoun, Cascades, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel provinces",Heavy rains,,,,,,,Km2,,,,15.0,35.0,27826.0,7032.0,34893.0,,,,"Boucle Du Mouhoun, Cascades, Centre, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel (Adm1). ",2016-06-21,2016-07-16,"['Arr.3', 'Zogo', 'Watinoma', 'sector 12 and 13', 'Arr. 4', 'Arr. 7', 'Sondogo', 'Arr.8', 'Bissighin', 'Arr. 10', 'Tanghlin Dassouri Arr.', 'Ouagadougou city', 'Kadiogo district', 'Centre province', 'Boucle du Mouhoun', 'Cascades', 'Centre-nord', 'Centre-ouest', 'Est', 'Hauts-bassins', 'Nord', 'Sahel provinces']",0.0,2.0,2.0
38,2016-0002-BGD,2016.0,,Natural,Geophysical,Earthquake,Ground movement,,,Bangladesh,BGD,Southern Asia,Asia,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",,,,,,,7.0,Richter,24.804,93.65,,5.0,70.0,,,70.0,,,,"Dhaka, Jamalpur, Lalmonirhat, Panchagarh, Rajshahi (Adm2). ",2016-01-03,2016-01-03,"['Dhaka', 'Jamalpur districts', 'Dhaka province', 'Rajshahi district', 'Rajshahi province', 'Lalmonirhat', 'Panchagarh districts', 'Rangpur province']",0.0,0.0,7.0
39,2016-0288-BGD,2016.0,FL-2016-000075,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",Heavy rains,,,,,,45667.0,Km2,24.095,90.04,,106.0,,1900000.0,,1900000.0,,,182904.0,"Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kushtia, Lalmonirhat, Madaripur, Manikganj, Nilphamari, Rajbari, Rangpur, Shariatpur, Sirajganj, Sunamganj, Tangail (Adm2). ",2016-07-19,2016-08-02,"['Kurigram', 'Bogra', 'Sirajganj', 'Gaibandha', 'Tangail', 'Jamalpur', 'Nilphamari', 'Lalmonirhat', 'Sunamganj', 'Faridpur', 'Kustia,Madaripur', 'Manikganj', 'Rajbari', 'Rangpur', 'Sariatpur districts']",119.0,0.0,0.0
40,2016-0284-BLZ,2016.0,TC-2016-000078,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Earl',Belize,BLZ,Central America,Americas,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,,,,,110.0,Kph,,,,,,10355.0,,10355.0,,,,"Belize, Cayo, Orange Walk (Adm1). ",2016-08-04,2016-08-04,"['San Pedro', 'Caye Caulker', 'Belize city', 'Ladyville,', 'Belize province', 'Orange Walk province', 'Belmopan', 'Cayo province']",0.0,0.0,15.0
41,2016-0033-BRA,2016.0,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",El Nino,,,,Yes,,110515.0,Km2,-17.956,-56.442,,3.0,,50500.0,,50500.0,,,121936.0,"Sao Paulo (Adm1). Aquidauana, Arapongas, Dois Irmaos Do Buriti, Londrina, Miranda, Rolandia, Taquarussu (Adm2). ",2016-01-09,2016-01-15,"['Arapongas', 'Rolândia', 'Londrina districts', 'Parana province', 'Sao Paulo province', 'Aquidauana', 'Miranda', 'Dois Irmãos do Buriti', 'Taquarussu districts', 'Mato Grosso do Sul province']",62.0,0.0,0.0
42,2016-0300-CAF,2016.0,EP-2016-000082,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Central African Republic,CAF,Middle Africa,Africa,"Mourou-Fleuve village (NDjoukou district, Kemo province); Zawara, Danga, Massamba (Damara district); Bangui ",,,,,Yes,,,Vaccinated,,,,21.0,266.0,,,266.0,,,,"Bangui, Damara (Adm2). ",2016-07-05,2016-09-20,"['Mourou-Fleuve village', 'NDjoukou district', 'Kemo province', 'Zawara', 'Danga', 'Massamba', 'Damara district', 'Bangui ']",0.0,0.0,8.0
43,2016-0243-CAN,2016.0,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,"Chetwynd, Lemoray, Dawson Creek, Link Creek, Braden Road, Mackenzie, Fort St. John cities (Peace River district, British Columbia/Colombie-Britannique province)",Heavy rain,,,,Yes,,176100.0,Km2,58.292,-123.249,,,,300.0,,300.0,,,,Peace River (Adm2). ,2016-06-14,2016-06-21,"['Chetwynd', 'Lemoray', 'Dawson Creek', 'Link Creek', 'Braden Road', 'Mackenzie', 'Fort St. John cities', 'Peace River district', 'British Columbia/Colombie-Britannique province']",0.0,0.0,8.0
