,Dis No,Year,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,River Basin,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Reconstruction Costs, Adjusted ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages, Adjusted ('000 US$)",Geo Locations,Start Date,End Date,Location List,mentions_1,mentions_2,mentions_3
396,2018-0065-BDI,2018.0,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,"Rugombo, Mpinga-Kayove, Bujumbura Mairie, Bujumbura Rural, Bururi, Ruyigi provinces",Heavy rains,,,,,,18675.0,Km2,-3.47,29.987,,,,12000.0,,12000.0,,,,"Bujumbura Mairie, Bujumbura Rural, Bururi, Cibitoke, Rutana, Ruyigi (Adm1). ",2018-01-14,2018-01-24,"['Rugombo', 'Mpinga-Kayove', 'Bujumbura Mairie', 'Bujumbura Rural', 'Bururi', 'Ruyigi provinces']",0.0,1.0,53.0
397,2018-0163-BDI,2018.0,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Mairie, Bujumbura Rural, Makamba provinces.",Torrential Rain,,,,,,8959.0,Km2,-4.015,29.641,,,,23000.0,,23000.0,,,,"Bujumbura Mairie, Bujumbura Rural, Makamba (Adm1). ",2018-04-28,2018-05-01,"['Bujumbura Mairie', 'Bujumbura Rural', 'Makamba provinces.']",0.0,2.0,36.0
398,2018-0479-BDI,2018.0,FL-2018-000054,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Gaharawe, Mushasha I, Mushasha II, Muyange I, Muyange II, Kinyinya I, Kinyinya II, Warubondo, Vugizo (Gatumba)",Intense rain,,,,,,,Km2,,,,,,12956.0,,12956.0,,,,Mutimbuzi (Adm2). ,2018-05-04,2018-05-09,"['Gaharawe', 'Mushasha I', 'Mushasha II', 'Muyange I', 'Muyange II', 'Kinyinya I', 'Kinyinya II', 'Warubondo', 'Vugizo', 'Gatumba']",0.0,0.0,41.0
399,2018-0025-BEL,2018.0,,Natural,Meteorological,Storm,Extra-tropical storm,,'Friederike' (David),Belgium,BEL,Western Europe,Europe,Grez-Doiceau,,,,,,,130.0,Kph,,,,1.0,,,,,,,,Brabant wallon (Adm2). ,2018-01-17,2018-01-18,['Grez-Doiceau'],0.0,1.0,0.0
401,2018-0140-BGD,2018.0,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,Kph,,,,33.0,,,,,,,,,2018-04-29,2018-04-30,[],454.0,0.0,5.0
402,2018-0018-BGD,2018.0,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,3.0,°C,,,,34.0,,,,,,,,"Bogra, Chuadanga, Dinajpur, Gaibandha, Jamalpur, Joypurhat, Kurigram, Kushtia, Lalmonirhat, Natore, Netrakona, Nilphamari, Pabna, Panchagarh, Rajshahi, Rangpur, Sirajganj, Thakurgaon (Adm2). ",2018-01-01,2018-01-10,[],0.0,0.0,0.0
403,2018-0158-BGD,2018.0,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,,Torrential Rain,,,,,,3882.0,Km2,23.226,92.13,,21.0,,14000.0,,14000.0,,,,,2018-05-20,2018-05-22,[],8.0,0.0,0.0
404,2018-0220-BGR,2018.0,,Natural,Hydrological,Flood,,,,Bulgaria,BGR,Eastern Europe,Europe,"Plovdiv, Pazardjik, Sofia, Smolyan, Bourgas provinces",Torrential rain,,,,,,78520.0,Km2,42.698,23.9,,,,600.0,,600.0,,,,"Burgas, Pazardzhik, Plovdiv, Smoljan, Sofia, Sofia-city (Adm1). ",2018-06-28,2018-07-02,"['Plovdiv', 'Pazardjik', 'Sofia', 'Smolyan', 'Bourgas provinces']",0.0,0.0,0.0
405,2018-0097-BLR,2018.0,FL-2018-000034,Natural,Hydrological,Flood,,,,Belarus,BLR,Eastern Europe,Europe,Chernichi (Gomel region); Brest; Grodno; Minsk; Mogilev; Vitebsk regions,,,,,,,,Km2,,,"Western Dvina, Neman and Pripyat rivers",,,50000.0,,50000.0,,,,"Brest, Grodno, Minsk, Minsk City (Adm1). Zhitkovichi (Adm2). ",2018-03-19,2018-04-19,"['Chernichi', 'Gomel region', 'Brest', 'Grodno', 'Minsk', 'Mogilev', 'Vitebsk regions']",0.0,0.0,0.0
406,2018-0478-BOL,2018.0,EP-2018-000071,Natural,Biological,Epidemic,Viral disease,,Influenza,Bolivia (Plurinational State of),BOL,South America,Americas,Santa Cruz department,,,,,,,,Vaccinated,,,,23.0,1428.0,,,1428.0,,,,,2018-04-15,2019-06-02,['Santa Cruz department'],0.0,0.0,5.0
407,2018-0415-BRA,2018.0,,Natural,Hydrological,Landslide,Landslide,,,Brazil,BRA,South America,Americas,"Niteroi, near Rio de Janeiro",Heavy rains,,,,,,,,,,,15.0,,,300.0,300.0,,,,Niteroi (Adm2). ,2018-11-10,2018-11-10,"['Niteroi', 'near Rio de Janeiro']",0.0,1.0,5.0
408,2018-0112-BRA,2018.0,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Sao Paulo,Torrential Rain,,,,,,131278.0,Km2,-24.206,-48.623,,3.0,,1000.0,,1000.0,,,50115.0,Sao Paulo (Adm1). ,2018-03-20,2018-03-21,['Sao Paulo'],0.0,0.0,0.0
409,2018-0103-BWA,2018.0,FL-2018-000028,Natural,Hydrological,Flood,,,,Botswana,BWA,Southern Africa,Africa,"Gweta, Zoroga, Tsookotshaa vilalges (Central district, Mashonaland Central province)",Heavy rain,,,,,,,Km2,,,,,,4225.0,,4225.0,,,,Central (Adm1). ,2018-02-23,2018-03-22,"['Gweta', 'Zoroga', 'Tsookotshaa vilalges', 'Central district', 'Mashonaland Central province']",0.0,0.0,2.0
410,2018-0437-CAF,2018.0,,Natural,Biological,Epidemic,Viral disease,,Hepatitis E,Central African Republic,CAF,Middle Africa,Africa,Bokarangue-Koui district,,,,,,,,Vaccinated,,,,1.0,119.0,,,119.0,,,,,2018-09-10,2018-11-18,['Bokarangue-Koui district'],0.0,0.0,0.0
411,2018-0366-CAN,2018.0,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,Ottawa; Quebec province,,,,,,,250.0,Kph,,,,,30.0,900.0,,930.0,,,378775.0,Quebec / Québec (Adm1). Ottawa (Adm2). ,2018-09-21,2018-09-21,"['Ottawa', 'Quebec province']",0.0,577.0,0.0
412,2018-0195-CAN,2018.0,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Canada,CAN,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",,,,,,,37.0,°C,,,,70.0,,,,,,,,"Arthabaska, Charlevoix, Charlevoix-Est, D'Autray, Drummond, Francheville, Gatineau, Joliette, Kamouraska, L'??le-d'Orl??ans, L'Assomption, La C??te-de-Beaupr??, La Jacques-Cartier, La Tuque, La Vall??e-de-la-Gatineau, Lac-Saint-Jean-Est, Le Haut-Richelieu, Le Saguenay-et-son-Fjord, Les Collines-de-l'Outaouais, Les Laurentides, Les Maskoutains, Les Moulins, M??kinac, Maskinong??, Matawinie, Montcalm, Montreal, Papineau, Pontiac, Qu??bec, Shawinigan, Sherbrooke, T??miscamingue (Adm2). ",2018-06-29,2018-07-05,"['Gatineau', 'Montréal', 'Joliette', 'Saint-Hyacinthe', 'Saint-Jean-sur-Richelieu', 'Drummondville', 'Sherbrooke ,Outaouais', 'Laurentides', 'Lanaudière', 'Victoriaville Trois-Rivières', 'Québec', 'La Malbaie', 'Kamouraska', 'l’Abitibi-Témiscamingue', 'Saguenay—Lac-Saint-Jean', 'Quebec']",893.0,4.0,10.0
413,2018-0160-CAN,2018.0,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,British Columbia,Heavy Rain and Snowmelt,,,,,,78669.0,Km2,50.358,-119.241,,,,4000.0,,4000.0,,,,British Columbia / Colombie-Britannique (Adm1). ,2018-05-10,2018-05-14,['British Columbia'],3.0,1.0,16.0
414,2018-0118-CHN,2018.0,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,China,CHN,Eastern Asia,Asia,"Jiangxi, Zheijiang, Anhui",,,,,,,,Kph,,,,14.0,,177000.0,,177000.0,,,171323.0,"Anhui Sheng, Jiangxi Sheng, Zhejiang Sheng (Adm1). ",2018-03-03,2018-03-03,"['Jiangxi', 'Zheijiang', 'Anhui']",0.0,0.0,0.0
415,2018-0050-CHN,2018.0,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,China,CHN,Eastern Asia,Asia,"Anhui, Chongqing, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Shanxi, Xinjiang",,,,,,,,Kph,,,,21.0,,2500000.0,3700.0,2503700.0,,,995303.0,"Anhui Sheng, Chongqing Shi, Guizhou Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Shaanxi Sheng, Shanxi Sheng, Xinjiang Uygur Zizhiqu (Adm1). ",2018-01-02,2018-01-05,"['Anhui', 'Chongqing', 'Guizhou', 'Henan', 'Hubei', 'Hunan', 'Jiangsu', 'Jiangxi', 'Shaanxi', 'Shanxi', 'Xinjiang']",0.0,0.0,22.0
416,2018-0474-CHN,2018.0,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,China,CHN,Eastern Asia,Asia,"Guangxi, Jiangxi, Zhejiang,Hunan, Hubei, Guizhou ",,,,,,,,Kph,,,,,,1800000.0,,1800000.0,,,139039.0,"Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Zhejiang Sheng (Adm1). ",2018-12-27,2018-12-31,"['Guangxi', 'Jiangxi', 'Zhejiang,Hunan', 'Hubei', 'Guizhou ']",0.0,25.0,9.0
417,2018-0215-CHN,2018.0,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Ningjiang (Jilin province),,,,,,,5.0,Richter,45.279,124.557,,,,12000.0,,12000.0,,,33798.0,Songyuan (Adm2). ,2018-05-28,2018-05-28,"['Ningjiang', 'Jilin province']",0.0,0.0,0.0
418,2018-0323-CHN,2018.0,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yuxi (Yunnan province),,,,,,,5.0,Richter,24.332,102.941,,,24.0,18000.0,,18024.0,,,58273.0,Yuxi (Adm2). ,2018-08-13,2018-08-13,"['Yuxi', 'Yunnan province']",0.0,0.0,6.0
419,2018-0201-CHN,2018.0,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ewiniar',China,CHN,Eastern Asia,Asia,"Guangdong, Jiangxi, Fujian, and Zhejiang provinces, Hainan Island",,,,,,,,Kph,,,,14.0,,16200.0,,16200.0,,,664312.0,"Fujian Sheng, Guangdong Sheng, Hainan Sheng, Jiangxi Sheng, Zhejiang Sheng (Adm1). ",2018-07-19,2018-07-19,"['Guangdong', 'Jiangxi', 'Fujian', 'and Zhejiang provinces', 'Hainan Island']",0.0,140.0,0.0
420,2018-0287-CHN,2018.0,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ampil' (Inday),China,CHN,Eastern Asia,Asia,"Shangai, iJiangsu, Zhejiang, Shandong, Hebei",,,,,,,,Kph,,,,1.0,,18000.0,,18000.0,,,279710.0,"Hebei Sheng, Jiangsu Sheng, Shandong Sheng, Shanghai Shi, Zhejiang Sheng (Adm1). ",2018-07-22,2018-07-22,"['Shangai', 'iJiangsu', 'Zhejiang', 'Shandong', 'Hebei']",0.0,3.0,0.0
421,2018-0309-CHN,2018.0,TC-2018-000138,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Soulik',China,CHN,Eastern Asia,Asia,,,,,,,,,Kph,,,,,,,,,,,93120.0,,2018-08-22,2018-08-23,[],9.0,0.0,30.0
422,2018-0341-CHN,2018.0,TC-2018-000149,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mangkut (Ompong),China,CHN,Eastern Asia,Asia,Shenzhen,,,,,,,,Kph,,,,,,,,,,,897404.0,Shenzhen (Adm2). ,2018-09-10,2018-09-18,['Shenzhen'],0.0,15.0,0.0
423,2018-0159-CHN,2018.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Guangxi Zhuang Autonomous,Heavy rain,,,,,,109610.0,Km2,23.812,108.795,,5.0,,70000.0,,70000.0,,,,Guangxi Zhuangzu Zizhiqu (Adm1). ,2018-05-07,2018-05-16,['Guangxi Zhuang Autonomous'],0.0,0.0,2.0
424,2018-0210-CHN,2018.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Jiangxi, Hebei, Shanxi, Jiangsu, Shandong, Henan, Hubei, Shaanxi, Sichuan, Guizhou, Gansu, Chongqing",Heavy rains,,,,,,,Km2,,,Yangtze river,77.0,,225000.0,,225000.0,,,434717.0,"Chongqing Shi, Gansu Sheng, Guizhou Sheng, Hebei Sheng, Henan Sheng, Hubei Sheng, Jiangsu Sheng, Jiangxi Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng, Sichuan Sheng (Adm1). ",2018-05-07,2018-05-30,"['Jiangxi', 'Hebei', 'Shanxi', 'Jiangsu', 'Shandong', 'Henan', 'Hubei', 'Shaanxi', 'Sichuan', 'Guizhou', 'Gansu', 'Chongqing']",0.0,14.0,4.0
425,2018-0211-CHN,2018.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Fujian, Guangdong, Guangxi",,,,,,,,Km2,,,,2.0,,6000.0,,6000.0,,,78086.0,"Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu (Adm1). ",2018-05-07,2018-05-14,"['Fujian', 'Guangdong', 'Guangxi']",0.0,0.0,0.0
426,2018-0250-CHN,2018.0,TC-2018-000110,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Deyang, Mianyang, Guangyuan prefectures (Sichuan province)","Typhoon Prapiroon, Typhoon Maria",,,,,,,Km2,,,,3.0,,1381000.0,,1381000.0,,,910554.0,"Deyang, Guangyuan, Mianyang (Adm2). ",2018-07-07,2018-07-07,"['Deyang', 'Mianyang', 'Guangyuan prefectures', 'Sichuan province']",0.0,0.0,0.0
427,2018-0252-CHN,2018.0,TC-2018-000110,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Tianshui, Zhangye, Pingliang (Gansu province)",,,,,,,,Km2,,,,16.0,,1519000.0,,1519000.0,,,618497.0,"Pingliang, Tianshui, Zhangye (Adm2). ",2018-07-10,2018-07-11,"['Tianshui', 'Zhangye', 'Pingliang', 'Gansu province']",0.0,2.0,4.0
428,2018-0369-CHN,2018.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,,,,,,,,,Km2,,,,18.0,,11400.0,,11400.0,,,920713.0,,2018-08-29,2018-09-05,[],0.0,1.0,11.0
429,2018-0185-CIV,2018.0,FL-2018-000077,Natural,Hydrological,Flood,,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Adjamé, Attécoubé, Cocody, Kumasi, Yopougon districts (Abidjan); Tiassalé, Toulepleu, San Pedro",Torrential rains,,,,,,,Km2,,,,20.0,,25000.0,,25000.0,,,,District autonome de Abidjan (Adm1). ,2018-06-18,2018-06-19,"['Abobo', 'Adjamé', 'Attécoubé', 'Cocody', 'Kumasi', 'Yopougon districts', 'Abidjan', 'Tiassalé', 'Toulepleu', 'San Pedro']",0.0,1.0,3.0
430,2018-0435-CMR,2018.0,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Cameroon,CMR,Middle Africa,Africa,"North, Far North, Central, Littoral region",,,,,,,,Vaccinated,,,,57.0,942.0,,,942.0,,,,,2018-05-18,2018-11-23,"['North', 'Far North', 'Central', 'Littoral region']",0.0,0.0,2.0
432,2018-0373-CUB,2018.0,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michael,Cuba,CUB,Caribbean,Americas,"Sandino, San Juan municipalities (Pinar del Rio province)",,,,,,,,Kph,,,,,,540.0,,540.0,,,,"San Juan Y Martinez, Sandino (Adm2). ",2018-10-10,2018-10-11,"['Sandino', 'San Juan municipalities', 'Pinar del Rio province']",0.0,2.0,2.0
433,2018-0061-CZE,2018.0,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Czech Republic (the),CZE,Eastern Europe,Europe,,,,,,,,,°C,,,,3.0,,,,,,,,,2018-02-23,2018-02-28,[],0.0,0.0,0.0
435,2018-0280-DOM,2018.0,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Beryl',Dominican Republic (the),DOM,Caribbean,Americas,San Cristóbal and Santo Domingo provinces,,,,,,,,Kph,,,,,,,8000.0,8000.0,,,,"San Cristobal, Santo Domingo (Adm1). ",2018-07-09,2018-07-11,['San Cristóbal and Santo Domingo provinces'],0.0,0.0,17.0
436,2018-0218-DOM,2018.0,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas," San Cristóbal Province, Santo Domingo Province, Distrito Nacional",Tropical Storm Beryl,,,,,,21590.0,Km2,19.018,-69.704,,,,7390.0,,7390.0,,,,"Distrito Nacional, San Cristobal, Santo Domingo (Adm1). ",2018-07-09,2018-07-11,"[' San Cristóbal Province', 'Santo Domingo Province', 'Distrito Nacional']",35.0,0.0,0.0
437,2018-0162-DZA,2018.0,,Natural,Hydrological,Flood,Flash flood,,,Algeria,DZA,Northern Africa,Africa,"Tiaret, El-Bayadh",Torrential Rain,,,,,,132889.0,Km2,33.907,3.215,,6.0,,200.0,,200.0,,,,"El Bayadh, Tiaret (Adm1). ",2018-04-24,2018-04-28,"['Tiaret', 'El-Bayadh']",0.0,0.0,0.0
439,2018-0259-ESP,2018.0,,Natural,Climatological,Wildfire,Forest fire,,,Spain,ESP,Southern Europe,Europe,"Llutxent (Vall d'Albaida county, Valencia province)",,,,,,,,Km2,,,,,,,,,,,,Valencia/Valéncia (Adm2). ,2018-08-06,2018-08-09,"['Llutxent', ""Vall d'Albaida county"", 'Valencia province']",0.0,0.0,12.0
440,2018-0361-ESP,2018.0,,Natural,Hydrological,Flood,,,,Spain,ESP,Southern Europe,Europe,"Majorque, Catalonia, Tarragona, Baleras, Andalusia, Malaga",,,,,,,2882.0,Km2,39.591,2.936,,13.0,,,,,,36129.0,174819.0,"Andalucía, Cataluña/Catalunya, Illes Balears (Adm1). ",2018-10-09,2018-10-11,"['Majorque', 'Catalonia', 'Tarragona', 'Baleras', 'Andalusia', 'Malaga']",0.0,0.0,7.0
441,2018-0061-EST,2018.0,,Natural,Meteorological,Extreme temperature ,Cold wave,,,Estonia,EST,Northern Europe,Europe,,,,,,,,,°C,,,,7.0,,,,,,,,,2018-02-01,2018-02-28,[],0.0,13.0,0.0
442,2018-0180-ETH,2018.0,,Natural,Hydrological,Landslide,Landslide,,,Ethiopia,ETH,Eastern Africa,Africa,Gamo Gofa; Sidama,Heavy rains,,,,,,,,,,,32.0,17.0,,,17.0,,,,"Gamo Gofa, Sidama (Adm2). ",2018-05-20,2018-05-26,"['Gamo Gofa', 'Sidama']",0.0,2.0,4.0
443,2018-0328-ETH,2018.0,,Natural,Hydrological,Landslide,Landslide,,,Ethiopia,ETH,Eastern Africa,Africa,"Isara district in Région des nations, des nationalités et des peuples du Sud (SNNP); Kaffa province",Heavy rains,,,,,,,,,,,12.0,4.0,,,4.0,,,42.0,Dawro (Adm2). ,2018-09-04,2018-09-04,"['Isara district in Région des nations', 'des nationalités et des peuples du Sud', 'SNNP', 'Kaffa province']",0.0,3.0,13.0
445,2018-0194-FJI,2018.0,TC-2018-000037,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Keni',Fiji,FJI,Melanesia,Oceania,"Sigatoka, Nadi, Lautoka, Ba, Tavua, Rakiraki, Nalawa, Labasa, Suva- Kadavu, Levuka, Savusavu",,,,,,,,Kph,,,,,,89250.0,,89250.0,,,58273.0,"Ba, Cakaudrove, Kadavu, Macuata, Nadroga & Navosa, Ra, Rewa, Tailevu (Adm2). ",2018-04-09,2018-04-11,"['Sigatoka', 'Nadi', 'Lautoka', 'Ba', 'Tavua', 'Rakiraki', 'Nalawa', 'Labasa', 'Suva- Kadavu', 'Levuka', 'Savusavu']",0.0,0.0,0.0
446,2018-0025-FRA,2018.0,,Natural,Meteorological,Storm,Extra-tropical storm,,'Friederike' (David),France,FRA,Western Europe,Europe,"Pas-de-Calais department, Nord",,,,,,,,Kph,,,,,,,,,,,,"Nord, Pas-de-Calais (Adm2). ",2018-01-17,2018-01-18,"['Pas-de-Calais department', 'Nord']",0.0,0.0,1.0
447,2018-0397-FRA,2018.0,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Adrian',France,FRA,Western Europe,Europe,"Corse, Cote d'Azur",,,,,,,,Kph,,,,,,,,,,,,"Corse (Adm1). Alpes-maritimes, Var (Adm2). ",2018-10-30,2018-10-30,"['Corse', ""Cote d'Azur""]",0.0,0.0,1.0
448,2018-0061-FRA,2018.0,,Natural,Meteorological,Extreme temperature ,Cold wave,,,France,FRA,Western Europe,Europe,,,,,,,,,°C,,,,3.0,,,,,,,,,2018-02-23,2018-02-28,[],0.0,0.0,0.0
450,2018-0037-FRA,2018.0,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Ile-de-France ,Heavy rains,,,,,,72016.0,Km2,48.511,1.606,"Seine, Marne, Yonne, Rhône, Saône",,,2750.0,,2750.0,,203956.0,433551.0,Ile-de-France (Adm1). ,2018-01-24,2018-01-29,['Ile-de-France '],0.0,0.0,1.0
451,2018-0375-FRA,2018.0,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Carcasonne, Conques sur Orbiel, Aragon, Berriac, Trbes, Flore, Villegaihenc, Villemoustaussou, Villalier (Aude, Hérault)",Torrenntial rains,,,,,,,Km2,,,,14.0,76.0,1400.0,,1476.0,,268056.0,396256.0,"Aude, Herault (Adm2). ",2018-10-14,2018-10-15,"['Carcasonne', 'Conques sur Orbiel', 'Aragon', 'Berriac', 'Trbes', 'Flore', 'Villegaihenc', 'Villemoustaussou', 'Villalier', 'Aude', 'Hérault']",0.0,26.0,21.0
452,2018-0235-GBR,2018.0,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,33.0,°C,,,,,,,,,,,,,2018-06-30,2018-07-10,[],0.0,0.0,0.0
453,2018-0244-GEO,2018.0,FL-2018-000112,Natural,Hydrological,Flood,Flash flood,,,Georgia,GEO,Western Asia,Asia,Nenskra valley villages,"Heavy raining, melting of snow and glacier",,,,,,,Km2,,,Nenskra River,,,1143.0,,1143.0,,,,Mestia (Adm2). ,2018-07-05,2018-07-05,['Nenskra valley villages'],0.0,0.0,46.0
454,2018-0191-GNB,2018.0,ST-2018-000083,Natural,Meteorological,Storm,Convective storm,,,Guinea-Bissau,GNB,Western Africa,Africa,"Antula, Militar, Bor, Bairro Reno, Cuntum, Praca districts (Bissau), Bubaque, Bolama, Biombo, Oio, Sao Domingos regions",,,,,,,120.0,Kph,,,,3.0,,11541.0,,11541.0,,,,"Biombo, Oio, Sector Autonomo De Bissau (Adm1). Bolama, Bubaque, Sao Domingos (Adm2). ",2018-06-27,2018-06-27,"['Antula', 'Militar', 'Bor', 'Bairro Reno', 'Cuntum', 'Praca districts', 'Bissau', 'Bubaque', 'Bolama', 'Biombo', 'Oio', 'Sao Domingos regions']",0.0,1.0,1.0
455,2018-0157-GTM,2018.0,,Natural,Hydrological,Flood,Flash flood,,,Guatemala,GTM,Central America,Americas,"Chiquimula, El Progresso, Guatemala department, Peten, Quetzaltenango, Sacatepequez, Solola, San Marcos, Suchitepequez",Heavy rains,,,,,,67482.0,Km2,15.88,-90.217,,2.0,,76845.0,,76845.0,,,,"Chiquimula, El Progreso, Guatemala, Petén, Quetzaltenango, Sacatepéquez, San Marcos, Solola, Suchitepéquez (Adm1). ",2018-05-18,2018-05-22,"['Chiquimula', 'El Progresso', 'Guatemala department', 'Peten', 'Quetzaltenango', 'Sacatepequez', 'Solola', 'San Marcos', 'Suchitepequez']",0.0,2.0,2.0
457,2018-0341-HKG,2018.0,TC-2018-000149,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mangkut (Ompong),Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,240.0,Kph,,,,,300.0,,,300.0,,,,Administrative unit not available (Adm1). ,2018-09-17,2018-09-17,[],0.0,1.0,0.0
458,2019-0073-BOL,2019.0,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Chuquisaca, La Paz, Potosí, Oruro, Cochabamba, Tarija, Pando, Beni, Santa Cruz departments","Heavy rain and thunderstorms, El Nino",Storm,"Slide (land, mud, snow, rock)",,Yes,,,Km2,,,,60.0,,335540.0,,335540.0,,,,"Chuquisaca, La Paz, Potosi (Adm1). ",2019-02-24,2019-04-10,"['Chuquisaca', 'La Paz', 'Potosí', 'Oruro', 'Cochabamba', 'Tarija', 'Pando', 'Beni', 'Santa Cruz departments']",0.0,0.0,0.0
459,2019-0050-AFG,2019.0,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Kohistan district (Badakhshan province),,Industrial accidents,"Slide (land, mud, snow, rock)",,,,,Km2,,,,30.0,,,,,,,,Kohestan (Adm2). ,2019-01-06,2019-01-06,"['Kohistan district', 'Badakhshan province']",0.0,0.0,0.0
460,2019-0216-AFG,2019.0,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Kishim, Argo, Shahri Buzurg and Tishkan districts, Badakhshan province.",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,3.0,,,,,,,,"Argo, Keshem, Shahr-e-Buzorg, Teshkan (Adm2). ",2019-06-11,2019-06-11,"['Kishim', 'Argo', 'Shahri Buzurg and Tishkan districts', 'Badakhshan province.']",0.0,0.0,7.0
